subject,appearance
NoRef *BOOTSTRAP*,22
Small cleanup [skip CI],22
Fixed expected files [skip hazardlib],22
XWIKI-1393: SVN reorganization to take into account the different XWiki products,22
Bump guava from 28.1-jre to 28.2-jre,21
Merge drm/drm-next into drm-misc-next,21
Bump capybara from 3.25.0 to 3.26.0,21
vendor: update google/cadvisor and opencontainers/runc,21
Merge branch 'for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/rafael/suspend-2.6,21
Merge pull request #85175 from liggitt/golang-org-comments,21
l10n: Updated German (de) translation to 97%,21
Merge branch 'for-linus' of git://git.open-osd.org/linux-open-osd,21
Add missing include,21
Merge pull request #85223 from sttts/sttts-crd-items-types,21
luci-base: update Japanese translation,21
Merge pull request #89159 from dims/move-term-package-to-component-base,21
        Not reviewed.,21
Bump pg from 1.1.4 to 1.2.0,21
Merge pull request #96317 from Jefftree/test-ssa,21
Merge master.kernel.org:/pub/scm/linux/kernel/git/lethal/sh-2.6,21
Bump requests from 2.21.0 to 2.22.0,21
Merge branch 'cassandra-1.2' into cassandra-2.0,21
[Security] Bump handlebars from 4.5.3 to 4.7.6,21
Merge pull request #91366 from giuseppe/cgroupfs-cgroupv2,21
Bump @babel/preset-env from 7.8.4 to 7.8.6,21
l10n: Updated Hebrew (he) translation to 100%,21
Short term availability check for sales orders,21
Merge git://git.kernel.org/pub/scm/linux/kernel/git/gregkh/driver-2.6,21
Merge branch 'efi-core-for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/tip/tip,21
Merge branch 'master' of https://github.com/ControlSystemStudio/cs-studio,21
Fix broken link,21
Merge branch 'clk-fixes' into clk-next,21
Merge pull request #87081 from dims/updating-protobuf-and-grpc,21
Replace deprecated LOG.warn with LOG.warning,21
UIMA-1024,21
Merge pull request #76124 from tossmilestone/fix-crd-validate-items,21
Merge whalegate.ndb.mysql.com:/home/tomas/mysql-5.0-ndb into  whalegate.ndb.mysql.com:/home/tomas/mysql-5.1-single-user,21
Bump kaminari from 1.2.0 to 1.2.1,21
Bump pry-byebug from 3.8.0 to 3.9.0,21
Bump @babel/preset-env from 7.8.3 to 7.8.4,21
I18n: Update translation ast (99%).,21
Use CustomCommandLine directly instead of via SpawnAction.Builder.,21
Merge branch 'for-linus' of git://git.samba.org/sfrench/cifs-2.6,21
Bump @babel/core from 7.11.0 to 7.11.1,21
Bump rspec-rails from 4.0.1 to 4.0.2,21
chore(deps-dev): bump eslint from 7.9.0 to 7.10.0,21
"SVN_SILENT made messages (.desktop file, second try)",21
remove unused code,21
Merge pull request #95954 from sttts/sttts-go-openapi,21
Bump coverage from 5.1 to 5.2,21
Merge branch '3.6.x',21
Update tcmalloc on AT next,21
Merge pull request #93901 from jpbetz/atomic-structs,21
Merge master.kernel.org:/pub/scm/linux/kernel/git/jejb/scsi-rc-fixes-2.6,21
Added missing file. Updated Swedish translation.,21
WebIf:,21
Merge branch 'for_linus' of git://git.kernel.org/pub/scm/linux/kernel/git/mjg59/platform-drivers-x86,21
Merge neptunus.(none):/home/msvensson/mysql/mysql-5.0-maint into  neptunus.(none):/home/msvensson/mysql/mysql-5.1-new-maint,21
Related to JIRA PM-357 and PM-212,21
Merge git://git.samba.org/sfrench/cifs-2.6,21
Merge branch 'x86-fpu-for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/tip/tip,21
chore(deps-dev): bump eslint from 7.12.1 to 7.13.0,21
Merge branch 'devel-2.5',21
Avoid tox_install.sh for constraints support,21
Fix CRD validation error for 'items' field,21
Updating dependency github.com/google/go-cmp to version v0.3.1,21
Merge branch 'kconfig' of git://git.kernel.org/pub/scm/linux/kernel/git/mmarek/kbuild,21
Move the v8::Isolate* parameter to the first parameter of various binding methods in third_party/WebKit/Source/bindings,21
Merge remote-tracking branch 'origin/branch-18',21
Merge pull request #86975 from dims/update-hcsshim-v0.8.7-and-containerd-v1.3.2,21
Merge branch 'master' of https://github.com/nhnopensource/ngrinder.git,21
Add OCA as author of OCA addons,21
Remove unused parameter,21
Merge branch 'smp-urgent-for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/tip/tip,21
Bump rspec-rails from 3.9.1 to 4.0.0,21
l10n: Updated French (fr) translation to 98%,21
Update to latest klog 0.4.0,21
Added tests,21
Bump @angular/language-service in /bitcoin-neo4j/project-front-end,21
MDEV-12179: Per-engine mysql.gtid_slave_pos table,21
Bump mocha from 7.1.1 to 7.1.2,21
Fix Windows build,21
Merge branch 'master' into sd_gmseg_reorganization,21
        Reviewed by Anders,21
update docs,21
update vendor,21
chore(deps-dev): bump heroku/heroku-buildpack-php in /tests/apps/php,21
chore(deps-dev): bump eslint from 7.13.0 to 7.14.0,21
[Security] Bump merge from 1.2.0 to 1.2.1,21
Enable interactive_ui_tests on Windows that now run mostly reliably.,21
Fix test failure,21
wip,21
Reviewed by Darin Adler.,21
Bump prettier from 2.0.4 to 2.0.5,21
Clean up usages of asserting vector getters in Type,21
Removed unused import,21
Update for release.,21
bin/oq_create_db:,21
Merge branch 'master' of git://git.kernel.org/pub/scm/linux/kernel/git/pablo/nf,21
I18n: Update translation nb (98%).,21
enable tests in getdeps,21
Bump puma from 4.3.5 to 4.3.6,21
Bump factory_bot_rails from 4.10.0 to 4.11.0,21
tests/calcs/hazard/disagg/core_test:,21
Bump eslint-plugin-node from 11.0.0 to 11.1.0,21
Merge branch 'be2net-next',21
Bump devise from 4.7.2 to 4.7.3,21
Update Readme.md,21
Deprecated tox -downloadcache option removed,21
chore(deps): bump ini from 1.3.5 to 1.3.8,21
Merge branch 'irq-fixes-for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/tip/linux-2.6-tip,21
Bump elliptic from 6.4.0 to 6.5.3,21
Apply translations in tr,21
Merge tag 'armsoc-drivers' of git://git.kernel.org/pub/scm/linux/kernel/git/arm/arm-soc,21
Merge pull request #83987 from wenjiaswe/etcd_client_3_4_2,21
Merge branch 'dev' of https://github.com/sharding-sphere/sharding-sphere into dev,21
Model editor UI changes - #49,21
chore(deps-dev): bump eslint from 7.15.0 to 7.16.0,21
Version 4.0.1 ,21
Override onSetup when using a compatibility layer,21
build(deps): bump react-native-screens,21
Bump rails from 5.2.4.1 to 5.2.4.2,21
Merge branch 'for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/cjb/mmc,21
sonar: fix errors ,21
Bump puma from 3.12.2 to 3.12.3,21
sorbet: Update RBI files.,21
Multiple changes.,21
Bump @babel/preset-env from 7.6.0 to 7.6.2,21
Bump @babel/preset-env from 7.12.7 to 7.12.10,21
Bump byebug from 11.0.0 to 11.0.1,21
Merge branch 'master' of github.com:mmagnus/rna-tools,21
chore(release): 3.1.0 [skip ci],21
chore(release): 3.0.0 [skip ci],21
Merge branch '4.0-trunk',21
I18n: Update translation pt_BR (99%).,21
Update LICENSE,21
Merge pull request #92219 from voor/update-golang-text,21
FP Avoidance tuning,21
Merge branch 'integration' of github.com:ning/killbill into integration,21
Fix GN bootstrap,21
Bump go-openapi dependencies to preferred version,21
Apply translations in es_MX,21
typo fixed,21
Bump lodash-es from 4.17.11 to 4.17.15,21
Merge remote-tracking branch 'remotes/ehabkost/tags/python-next-pull-request' into staging,21
Pin transitive dependencies: pin dependency github.com/beorn7/perks from v1.0.0 to v1.0.1 pin dependency github.com/golang/protobuf from v1.3.3 to v1.4.2 pin denpendency github.com/json-iterator/go from v1.1.8 to v1.1.9 pin dependency github.com/prometheus/common from v0.4.1 to v0.9.1 pin dependency github.com/prometheus/procfs from v0.0.5 to v0.0.11 pin dependency github.com/alecthomas/template from v0.0.0-20160405071501-a0175ee3bccc to v0.0.0-20190718012654-fb15b899a751 pin dependency github.com/alecthomas/units from v0.0.0-20151022065526-2efee857e7cf to v0.0.0-20190717042225-c3de453c63f4 pin dependency github.com/go-kit/kit from v0.8.0 to v0.9.0 pin dependency github.com/go-logfmt/logfmt from v0.3.0 to v0.4.0,21
[Security] Bump nokogiri from 1.10.7 to 1.10.8,21
Update vendor k8s-cloud-provider and google API,21
Updating dependency cloud.google.com/go to version v0.51.0,21
Pontoon: Update Korean (ko) localization of AMO,21
Bump prismjs from 1.20.0 to 1.21.0,21
Merge branch 'for_linus' of git://cavan.codon.org.uk/platform-drivers-x86,21
Switch SupportsUserData uses to use unique_ptr.,21
merged with default,21
Bump webmock from 3.7.3 to 3.7.4,21
Roll PGO profiles to the latest,21
Merge git://git.kernel.org/pub/scm/linux/kernel/git/steve/gfs2-2.6-nmw,21
Merge pull request #79306 from vllry/gogo-dep-tag,21
Translated using Weblate (Friulian),21
Version 3.4.1 ,21
Bump @babel/core from 7.4.4 to 7.4.5,21
build(deps-dev): bump @commitlint/config-conventional,20
Merging fixes into the trunk:,20
Translated using Weblate (Nederlands),20
Fixed a docstring [skip CI],20
Bump mockito-core from 3.4.6 to 3.5.0,20
Bump webmock from 3.2.1 to 3.3.0,20
Necessary to change KDE4_AUTOMOC macro to support enable-final argument,20
Translated using Weblate (Chinese (China)),20
OAK-1332: Large number of changes to the same node can fill observation queue,20
Bump govuk-lint from 3.7.0 to 3.8.0,20
Bump capybara from 3.31.0 to 3.32.0,20
Merge pull request #87442 from jennybuckley/smd-3,20
Merge pull request #87830 from dims/update-sigs.k8s.io/yaml-to-v1.2.0,20
Update language IT,20
chore(release): 1.0.3 [skip ci],20
Merge branch 'next',20
l10n: Updated Italian (it) translation to 99%,20
Merge bk-internal.mysql.com:/home/bk/mysql-maria into  mysql.com:/home/my/mysql-maria,20
new function,20
Unreviewed Chromium gardening.,20
Run hack/update-vendor.sh,20
Fix deprecation warnings,20
Merge remote-tracking branch 'remotes/mcayland/tags/qemu-sparc-signed' into staging,20
Merge branch 'stable-2.11' into master,20
Merge branch '1.0.x' into 1.1.x,20
Merge branch 'version/2.2' into version/2.3,20
Update AUTHORS,20
Temporary changes for release,20
Bump capybara from 3.27.0 to 3.28.0,20
Merge branch '1.5.x' into 1.6.x,20
build: Updating mediawiki/mediawiki-codesniffer to 21.0.0,20
Upgrade bazlets to latest stable-3.0,20
l10n: Chinese (Taiwan) update,20
Move from glog to klog,20
        Reviewed by Tim O.,20
        Reviewed by Tim Omernick.,20
I18n: Update translation el (96%).,20
[Security] Bump lodash.template from 4.4.0 to 4.5.0,20
Merge branch 'fixes' of git://git.kernel.org/pub/scm/linux/kernel/git/djbw/async_tx,20
Merge branch 'stable-3.2' into stable-3.3,20
Bump versions by x.(y+1).z for next dev cycle,20
 Merge branch 'master' into 'master',20
Sun May 12 19:19:43 1996  Aaron Digulla   <digulla@fh-konstanz.de>,20
Remove unused import.,20
Fix build failure,20
update vendor k8s.io/utils to 5f6fbceb4c31,20
input/source:,20
Merge perch.ndb.mysql.com:/home/jonas/src/51-work into  perch.ndb.mysql.com:/home/jonas/src/mysql-5.1-new-ndb,20
Merge branch 'exynos-drm-fixes' of git://git.kernel.org/pub/scm/linux/kernel/git/daeinki/drm-exynos into drm-fixes,20
updating googleapis/gnostic to v0.1.0,20
Merge pull request #77354 from jennybuckley/crd-apply,20
Bump mocha from 8.0.1 to 8.1.0,20
Bump sphinx from 3.1.0 to 3.1.1,20
Update auto-generated documentation,20
chore(deps-dev): bump prettier from 2.1.1 to 2.1.2,20
Merge pull request #80123 from sttts/sttts-bump-kube-openapi2,20
Bump govuk-lint from 3.9.0 to 3.10.0,20
Bump @babel/core from 7.8.6 to 7.8.7,20
Merge perch.ndb.mysql.com:/home/jonas/src/41-work into  perch.ndb.mysql.com:/home/jonas/src/50-work,20
Remove 'UnitTestList' hook,20
[INTERNAL] Merge 'origin/master' into 'origin/feature-odata-v4',20
Bump pytest-cov from 2.9.0 to 2.10.0,20
xsarius_pli5: update bsp,20
Bump capybara from 3.7.1 to 3.7.2,20
Merge tag 'armsoc-dt' of git://git.kernel.org/pub/scm/linux/kernel/git/arm/arm-soc,20
Merge pull request #84911 from yue9944882/chore/bump-kube-openapi,20
XWIKI-654: Rewrite the Rendering engine,20
tests/calcs/risk/general_test:,20
Dunning angmom truncated basis sets,20
minor #24342 removed useless PHPDoc (OskarStark),20
update reference results,20
Simplify noxfile setup. [(#2806)](https://github.com/GoogleCloudPlatform/python-docs-samples/issues/2806),20
reviewed by: Maciej Stachowiak <mjs@eazel.com>,20
Merge branch '1.3.x',20
I18n: Update translation sv (98%).,20
I18n: Update translation hu (98%).,20
Post-merge fixes.,20
Upgrade klog to v2.1.0,20
Added a docstring,20
Added JSON and XML payloads tabs with RFC 8040 URL,20
New Feature.,20
Bump factory_bot_rails from 5.1.0 to 5.1.1,20
Merge https://gitlab.denx.de/u-boot/custodians/u-boot-x86,20
Merge master.kernel.org:/pub/scm/linux/kernel/git/davej/cpufreq,20
Machine Info,20
git subrepo pull cucumber-expressions/javascript,20
Bump objx to v0.2.0,20
updated CHANGES,20
Better monitoring,20
Fix compiler warning: implicit conversion loses integer precision,20
Merge pull request #85617 from andrewsykim/optimize-external-ips,20
Bug#45288: pb2 returns a lot of compilation warnings on linux,20
Merge remote branch 'origin/master',20
Pontoon: Update Slovenian (sl) localization of AMO,20
Merge git://git.kernel.org/pub/scm/linux/kernel/git/mchehab/v4l-dvb,20
Bump govuk_app_config from 1.11.2 to 1.11.3,20
Merge pull request #78470 from nikhita/security-contacts-psc,20
Bump factory_bot_rails from 6.0.0 to 6.1.0,20
Merge branch '1.6.1-SNAPSHOT',20
e2e log: fix full stacktrace with Ginkgo 1.10.0,20
Add Dependabot configuration,20
Merge pull request #81096 from roycaihw/update-vendor-json-iterator,20
Merge branch 'master' into stable_py3,20
Convert a variable to an object slot.,20
Merge branch '2.x',20
Merged 'develop'.,20
asm: interp_4tap_vert_pp sse2,20
Bump govuk-lint from 3.11.5 to 4.0.0,20
Merge branch 'dev' into beta,20
Simplify,20
Merge mysql.com:/home/jimw/my/mysql-4.1-clean into  mysql.com:/home/jimw/my/mysql-5.0-clean,20
build: Updating grunt-stylelint to 0.11.1,20
2011-04-25  Adam Barth  <abarth@webkit.org>,20
Bump prettier from 2.0.5 to 2.1.0,20
OAK-702: Optimize access to node type information,20
[ussuri][goal] Drop python 2.7 support and testing,20
Build(deps-dev): Update ergebnis/composer-normalize requirement,20
Merge git://git.kernel.org/pub/scm/linux/kernel/git/sam/kbuild,20
Update the changelog,20
Build(deps-dev): Update mimmi20/coding-standard requirement,20
Translated using Weblate (Tagalog),20
svn:eol,20
Update from gnulib,20
Merge remote-tracking branch 'couchbase/vulcan',20
Update for #24,20
Update ruby,20
Merge branch 'dev' of https://github.com/lzkelley/zcode into dev,20
Merge tag 'armsoc-soc' of git://git.kernel.org/pub/scm/linux/kernel/git/arm/arm-soc,20
[Security] Bump puma from 4.3.3 to 4.3.5,20
sync lock,20
Translated using Weblate (Spanish (es_)),20
Bump govuk_app_config from 2.0.0 to 2.0.1,20
apply clang-tidy modernize-use-override,20
Publish Stable,20
        Reviewed by Zack,20
Pontoon: Update Arabic (ar) localization of AMO,20
Added a docstring [skip CI],20
Merge branch 'master' into rpm-opt,20
Merge branch 'qlcnic',20
build: Updating mediawiki/mediawiki-codesniffer to 26.0.0,20
Merge remote-tracking branch 'remotes/vivier2/tags/trivial-branch-pull-request' into staging,20
Remove all calls to domAutomationController.setAutomationId.,20
Fix mem leaks.,20
k8s.io/kube-openapi v0.0.0-20200403204345-e1beb1bd0f35,20
[SMALLFIX] Use static imports for standard test utilities,20
Merge branch 'bnxt_en-fixes',20
Merge pull request #78187 from dims/update-vendored-dependencies-to-released-versions-2,20
Merge branch 'origin/master',20
Bump pry-rails from 0.3.6 to 0.3.7,20
[flang] checkpoint,20
chore(release): 1.1.1 [skip ci],20
Remove pre-1.25 API compatibility code,20
Merge remote-tracking branch 'origin/2.2.x',20
Update libdivecomputer,20
Merge branch 'master' of github.com:prisma/photon-js,20
Merge branch 'mlx5-next' of git://git.kernel.org/pub/scm/linux/kernel/git/mellanox/linux,20
Merge remote-tracking branch 'upstream/dev' into dev,20
        Reviewed by Adele Peterson.,20
IDEA-104500 Gradle: Allow to reuse common logic for other external systems,20
Merge pull request #92661 from jpbetz/smd-bump-field-unsetting,20
Fix failing tests.,20
Fix windows build,20
WIP : Core,20
Inserted the License field from the Package Database (PDB).,20
OAK-659: Move purge logic for transient changes below the NodeBuilder interface,20
OAK-167: Caching NodeStore implementation,20
Merge git://git.infradead.org/battery-2.6,20
OAK-631: SegmentMK: Implement garbage collection,20
Merge branch 'master' of github.com:buildbot/buildbot,20
Bump webpack from 4.41.4 to 4.41.5,20
Merge pull request #89833 from liggitt/json-raw,20
Make transitive starlark loads explicit,20
Fixed tests [skip hazardlib][demos],20
Merge branch 'dev' of github.com:gchq/stroom into ruleset-WIP,20
Merge branch 'master' of github.com:stitchfix/flotilla-os,20
Bump mocha from 8.2.0 to 8.2.1,20
Merge remote-tracking branch 'origin/6.2.0' into 7.0.2,20
Small change,20
Bump eslint from 7.8.0 to 7.8.1,20
Daily `arc lint --take CLANGFORMAT`,20
tests/export/risk_test:,20
Merge branch 'java6',20
Bump kaminari from 1.1.1 to 1.2.1,20
Bump puma from 3.12.4 to 3.12.6,20
[Security] Bump puma from 4.3.0 to 4.3.1,20
2006-02-27  Eric Seidel  <eseidel@apple.com>,20
Update the constraints url,20
Bump jacoco-maven-plugin from 0.8.3 to 0.8.4,20
batman-adv: Start new development cycle,20
reviewed by: Gene Z. Ragan <gzr@eazel.com>,20
Updating dependency k8s.io/kube-openapi to version 656914f,20
Bump uglifier from 4.1.17 to 4.1.18,20
l10n: Portuguese update,20
Merge remote-tracking branch 'airlied/drm-next' into drm-intel-next-queued,20
Fixed docstring,20
Merge remote-tracking branch 'stefanha/net' into staging,20
Merge branch 'release' of git://git.kernel.org/pub/scm/linux/kernel/git/lenb/linux,20
Merge pull request #93867 from apelisse/update-smd,20
Add stylelint for css files,20
Remove unused methods,20
Merge branch 'mlx5-fixes',20
Merge pull request #81871 from prameshj/vendor-update,20
saving output in a central place,20
always_run is deprecated. Use check_mode = no instead..,20
Update OpenBIOS images,20
Fix typo in comment.,19
chore: update dependencies,19
Merge pull request #87107 from dims/updating-googleapis/gnostic-to-v0.1.0,19
Merge branch 'stable-2.16' into stable-2.17,19
